My wife is in a bad mood.,She fell out of the tree.
Why do you never see elephants hiding in trees?,To get to the other side.
How did the blonde die raking leaves?,The supermarket trolley has a mind of its own.
Why did the chicken hold a seance?,It smells like teen spirit.
Yttrium-barium-copper oxide walks into a bar,
"Roses are red, Violets are blue.",
"Not to get too technical, but chemistry says",
"I often think if I'd taken a different path in life, I could be",
How do you know if your wine was made in the 90's?,
What did the wise man say to the fat guy?,
Two skeptics walk into a bar,
